City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,vanimo,-2.6741,141.3028,24.7,89,99,2.09,PG,1674678341
93,clyde river,70.4692,-68.5914,-25.87,70,75,7.72,CA,1674678342
94,belmonte,-15.8631,-38.8828,27.01,76,100,4.88,BR,1674678342
95,nantucket,41.2835,-70.0995,4.49,72,20,2.06,US,1674678181
96,luderitz,-26.6481,15.1594,18.69,64,0,8.97,NA,1674678343
97,ajdabiya,30.7554,20.2263,16.18,48,91,7.65,LY,1674678343
98,dosso,13.049,3.1937,28.1,11,28,4.15,NE,1674678344
99,beberibe,-4.1797,-38.1306,27.06,71,23,3.74,BR,1674678344
100,georgetown,5.4112,100.3354,25.96,69,20,1.03,MY,1674678058
101,caravelas,-17.7125,-39.2481,26.48,81,97,4.27,BR,1674678345
102,pochutla,15.7432,-96.4661,32.9,35,5,3.33,MX,1674678346
103,mehamn,71.0357,27.8492,0.97,75,75,8.75,NO,1674678346
104,grindavik,63.8424,-22.4338,3.26,93,75,7.2,IS,1674678347
105,hobart,-42.8794,147.3294,15.92,64,40,6.17,AU,1674678086
106,sao filipe,14.8961,-24.4956,21.79,68,100,1.92,CV,1674678347
107,karpogory,64.0019,44.4451,1.06,98,100,6.77,RU,1674678348
108,udachnyy,66.4167,112.4,-42.73,100,78,2.28,RU,1674678349
109,ribeira grande,38.5167,-28.7,15.43,77,75,5.66,PT,1674678349
110,richards bay,-28.783,32.0377,23.4,89,88,5.75,ZA,1674678350
111,bluff,-46.6,168.3333,13.22,78,95,3.9,NZ,1674678351
112,trinidad,-14.8333,-64.9,32.99,52,20,6.69,BO,1674678351
113,norman wells,65.282,-126.8329,-21.98,84,100,2.06,CA,1674678352
114,new norfolk,-42.7826,147.0587,15.72,60,100,1.34,AU,1674678352
115,tilichiki,60.4667,166.1,-14.99,62,23,8.81,RU,1674678353
116,carnarvon,-24.8667,113.6333,26.55,70,54,4.78,AU,1674678353
117,novoselitskoye,44.7508,43.4369,-2.18,53,1,3.8,RU,1674678354
118,severo-kurilsk,50.6789,156.125,-4.43,79,100,4.81,RU,1674678354
